C0 	 N 	 idle 
24 	 1 	 93.98
44 	 2 	 79.28
64 	 3 	 77.06
78 	 4 	 71.37
98 	 5 	 64.65
105 	 6 	 62.05
115 	 7 	 58.15
131 	 8 	 53.23
138 	 9 	 50.3
147 	 10 	 46.59
147 	 11 	 45.07
163 	 12 	 41.25
171 	 13 	 35.74
172 	 14 	 38.68
192 	 15 	 30.52
186 	 16 	 32.6
201 	 17 	 28.26
205 	 18 	 25.25
204 	 19 	 24.3
216 	 20 	 22.74
209 	 21 	 19.68
229 	 22 	 14.4
222 	 23 	 20.68
230 	 24 	 16.2
224 	 25 	 15.49
226 	 26 	 16.23
240 	 27 	 13.43
236 	 28 	 14.06
254 	 29 	 4.83
237 	 30 	 8.62
250 	 31 	 4.82
248 	 32 	 8.25
258 	 33 	 4.8
245 	 34 	 6.02
267 	 35 	 3.61
251 	 36 	 3
261 	 37 	 1.81
247 	 38 	 4.41
258 	 39 	 2.81
265 	 40 	 2.01
263 	 41 	 1
252 	 42 	 2.81
253 	 43 	 1.21
259 	 44 	 2
250 	 45 	 1.4
256 	 46 	 0.6
254 	 47 	 1.4
254 	 48 	 0.8
259 	 49 	 0.4
219 	 50 	 0.6
